referenznummer,titel,hauptberuf,firma,vollzeit,verguetungsangabe,festgehalt,gehaltsspanne_von,gehaltsspanne_bis,plz,ort,strasse,veroeffentlicht_am,eintritt_von,entfernung_km,quereinstieg_geeignet
12016-10004848709-S,Lagerhelfer  m/w/d,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10243,Berlin,,2026-07-13,2026-07-13,1,False
15555-JK51L0YK55PA4HW8-S,Lagerhelfer/in (m/w/d),Fachkraft - Lagerlogistik,Time Tec Personalservice GmbH,True,STUNDENLOHN,,15.0,16.0,10965,Berlin,,2026-07-17,2026-07-17,4,False
12016-10004731690-S,Lagerhelfer m/w/d,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,1900.0,,,12047,Berlin,,2026-06-25,2026-06-26,2,False
11119-4860652741-S,Lagerhelfer (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",Randstad Deutschland,True,STUNDENLOHN,,14.96,15.29,12043,Berlin,,2026-07-06,2026-07-15,4,False
11119-4898509704-S,Lagerhelfer (m/w/d),Lager- und Transportarbeiter/in,Randstad Deutschland,True,STUNDENLOHN,,15.33,16.0,14979,Großbeeren,,2026-07-22,2026-07-23,18,False
12608-1425534-8058-1-S,Lagerhelfer (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",Penny-Markt GmbH Ost,True,KEINE_ANGABEN,,,,14979,Großbeeren,,2026-07-22,2026-07-23,18,False
10001-1002763842-S,Lagerhelfer (m/w/d),Lager- und Transportarbeiter/in,ACCURAT GmbH ACCURAT Gesellschaft für Personaldienstleistungen mbH,True,KEINE_ANGABEN,,,,,Berlin,,2026-03-13,2026-07-21,3,True
10001-1002763805-S,Lagerhelfer (m/w/d),Lager- und Transportarbeiter/in,ACCURAT GmbH ACCURAT Gesellschaft für Personaldienstleistungen mbH,True,KEINE_ANGABEN,,,,,Berlin,,2026-03-13,2026-07-09,3,True
10001-1002966770-S,Lagerhelfer(m/w/d),Lager- und Transportarbeiter/in,Maria Ximena Lopez Henao - Job Zentrum,True,KEINE_ANGABEN,,,,10437,Berlin,Eberswalder Straße,2026-04-23,2026-04-23,3,True
12016-10004859357-S,Lagerhelfer m/w/d,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,1900.0,,,14057,Berlin,,2026-07-14,2026-07-15,9,False
12016-10004800532-S,Lagerhelfer/in (m/w/d) - Tiefkühllager,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.9,,,10243,Berlin,,2026-07-06,2026-07-09,1,False
12016-10004816700-S,Lagerhelfer (m/w/d),Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.0,,,10587,Berlin,,2026-07-08,2026-07-11,7,False
12016-10004769791-S,Lagerhelfer m/w/d für Spielzeug,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.9,,,10243,Berlin,,2026-07-01,2026-07-04,1,False
10001-1002459955-S,Lagerhelfer (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",ZAG GmbH Berlin Brandenburg,True,STUNDENLOHN,14.96,,,10585,Berlin,Richard-Wagner-Platz,2026-01-21,2026-07-15,8,
14751-62A122248-S,Lagerhelfer (m/w/d),Lager- und Transportarbeiter/in,iperdi HL GmbH - Niederlassung Potsdam,True,STUNDENLOHN,14.53,,,14979,Großbeeren,,2026-07-01,2026-07-20,18,False
11858-SDE-106929-STA-S,Lagerhelfer / Kommissionierer (mwd),Kommissionierer/in,Personalservice Fliegenschmidt GmbH,True,STUNDENLOHN,,15.0,16.0,10965,Berlin,,2026-07-06,2026-07-06,4,False
16334-r63v6w1cncm6y8khyz-S,Lagerist / Lagerhelfer (m/w/d),Fachkraft - Lagerwirtschaft,flaschenpost SE,False,KEINE_ANGABEN,,,,10589,Berlin,,2026-07-21,2026-07-22,8,False
10000-1206404929-S,Lagerhelfer (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",RIW Personalservice GmbH,True,KEINE_ANGABEN,,,,12277,Berlin,Buckower Chaussee,2026-05-05,2026-07-09,11,
10000-1203566740-S,Lagerhelfer/in (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",Time Tec Personalservice GmbH,True,KEINE_ANGABEN,,,,10719,Berlin,,2025-08-27,2026-07-21,7,
12016-10004923548-S,Lagerhelfer (m/w/d) für Automobilkonzern - Tiergarten,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.36,,,10243,Berlin,,2026-07-22,2026-07-24,1,False
16334-eb3jrbw0n7inwxsvfo-S,Lagerist / Lagerhelfer (m/w/d),Fachkraft - Lagerwirtschaft,flaschenpost SE,False,KEINE_ANGABEN,,,,12103,Berlin,,2026-07-18,2026-07-19,6,False
16334-99bmui6jdzcvzcyonx-S,Lagerist / Lagerhelfer (m/w/d),Fachkraft - Lagerwirtschaft,flaschenpost SE,False,KEINE_ANGABEN,,,,13053,Berlin,,2026-07-18,2026-07-19,7,False
10001-1001066330-S,Lagerhelfer (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",Gordion Arbeit nach Maß GmbH,True,KEINE_ANGABEN,,,,12489,Berlin,,2025-01-23,2026-07-08,12,True
12016-10004777476-S,Lagerhelfer / Lagermitarbeiter m/w/d,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,JAHRESGEHALT,2900.0,,,12047,Berlin,,2026-07-02,2026-07-04,2,False
12016-10004769783-S,Lagerhelfer für Lebensmittel (m/w/d),Fachlagerist/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,20.71,,,12047,Berlin,,2026-07-01,2026-07-04,2,False
12016-10004744002-S,Lagerhelfer / Produktionshelfer (m/w/d),Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,2900.0,,,10245,Berlin,,2026-06-27,2026-06-29,3,False
12147-20260601220347-S,Lagerhelfer ( m/w/d),"Helfer/in - Lagerwirtschaft, Transport",JobImpulse Nord GmbH,True,STUNDENLOHN,14.96,,,14979,Großbeeren,,2026-06-04,2026-08-17,18,False
12016-10004777471-S,Lagerhelfer(m/w/d) - Unbefristet,Gabelstaplerfahrer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.0,,,10405,Berlin,,2026-07-02,2026-07-04,3,False
12016-10004827834-S,Lagerhelfer für die Wechselschicht m/w/d,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,JAHRESGEHALT,2900.0,,,12043,Berlin,,2026-07-09,2026-07-11,4,False
15555-5MEGG4RPGRJIBOJC-S,Lagerhelfer für Gemüsegroßhandel,Fachkraft - Lagerlogistik,Time Tec Personalservice GmbH,True,STUNDENLOHN,,15.0,17.0,10115,Berlin,Rankestr. 2,2026-06-29,2026-06-29,3,False
10000-1204355166-S,Lagerhelfer (m/w/d),Lager- und Transportarbeiter/in,Randstad Deutschland GmbH & Co. KG,True,STUNDENLOHN,14.95,,,12489,Berlin,,2025-11-04,2026-07-17,12,
12016-10004883617-S,Lagerhelfer - VOLLZEIT m/w/d,Kommissionierer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10555,Berlin,,2026-07-16,2026-07-18,6,False
14751-272A698-S,Lagerhelfer (m/w/d) Dauernachtschicht,Lager- und Transportarbeiter/in,H 2 Personalmanagement GmbH,True,STUNDENLOHN,15.29,,,12681,Berlin,,2026-07-13,2026-07-16,8,False
10001-1002157421-S,Lagerhelfer - Kommissionierer (m/w/d),Lager- und Transportarbeiter/in,"Jirschinetz, Mike Arbeitsvermittlung",True,STUNDENLOHN,,15.5,17.41,10245,Berlin,,2025-11-16,2026-05-16,3,
12016-10004848124-S,Lagerhelfer (m/w/d) für Tiefkühllager - Hellersdorf,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.9,,,10179,Berlin,,2026-07-13,2026-07-16,1,False
12016-10004844100-S,Lagerhelfer / Disponent (m/w/d),Disponent/in - Lager,PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,14.5,,,10319,Berlin,,2026-07-12,2026-07-12,6,False
12016-10004841469-S,Lagerhelfer / Lagermitarbeiter m/w/d,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,13.65,,,10587,Berlin,,2026-07-12,2026-07-12,7,False
12016-10004905412-S,Lagerhelfer (m/w/d) - Verladen -Kommissionieren,Kommissionierer/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,14.22,,,10245,Berlin,,2026-07-20,2026-07-23,3,False
12016-10004749689-S,Lagerhelfer m/w/d - Zuschläge,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,JAHRESGEHALT,2900.0,,,13355,Berlin,,2026-06-29,2026-07-02,4,False
10001-1003259178-S,Lagerhelfer/in in Spandau (m/w/d),Lager- und Transportarbeiter/in,Maria Ximena Lopez Henao - Job Zentrum,True,KEINE_ANGABEN,,,,10437,Berlin,Eberswalder Str.,2026-06-19,2026-06-19,3,True
12016-10004851790-S,Lagerhelfer(m/w/d) - Urlaubsgeld,"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.0,,,12681,Berlin,,2026-07-13,2026-07-14,8,False
12016-10004734311-S,Lagerhelfer - Tiefkühl (m/w/d),"Helfer/in - Lagerwirtschaft, Transport",PerZukunft Arbeitsvermittlung GmbH&Co.KG GmbH & Co. KG,True,STUNDENLOHN,13.9,,,10439,Berlin,,2026-06-25,2026-06-28,5,False
12016-10004858799-S,Lagerhelfer m/w/d FÜR SCHOKOLADENFABRIK,Lager- und Transportarbeiter/in,PerZukunft Arbeitsvermittlung GmbH&Co.KG,True,STUNDENLOHN,20.01,,,12163,Berlin,,2026-07-14,2026-07-17,9,False
